Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"hand-written/ALaCarte.freeVars",4.778552603223682e-6,4.505732794338519e-6,5.129651231049648e-6,1.586582127970369e-6,1.2936117768105266e-6,1.8970155543153411e-6
"hand-written/ALaCarte.freeVars'",3.525058561901182e-6,3.305273311750942e-6,3.804603640517353e-6,1.2615954412506491e-6,1.0444156625687822e-6,1.473595464426696e-6
"hand-written/Standard.freeVars",2.169460341349913e-6,2.1667878858223463e-6,2.173718280428505e-6,1.701490745722237e-8,1.1584979905953174e-8,2.6341537653110425e-8
"random (depth: 5, size: 79)/ALaCarte.desugar",1.580575698062007e-7,1.5789428780811968e-7,1.582931486983791e-7,9.92885176855065e-10,7.388911536098647e-10,1.580231125241851e-9
"random (depth: 5, size: 79)/Standard.desugar",2.3722981333840973e-6,2.369942289442611e-6,2.3769461967069027e-6,1.647248221993371e-8,1.0092493339701841e-8,3.188869509600192e-8
"random (depth: 5, size: 79)/ALaCarte.desugarType",2.6156031683954822e-5,2.610770533045499e-5,2.620500067513417e-5,2.4926272555338836e-7,2.2155805834137633e-7,2.9052264132668127e-7
"random (depth: 5, size: 79)/ALaCarte.desugarType'",2.592792128060926e-5,2.5891139446591406e-5,2.599198025098883e-5,2.4258817450518114e-7,1.6091821285633277e-7,4.0937190321020646e-7
"random (depth: 5, size: 79)/Standard.desugarType",4.627205010404975e-6,4.622129258066824e-6,4.633543178911256e-6,2.909122272821298e-8,2.390854356799756e-8,3.696908615727905e-8
"random (depth: 5, size: 79)/ALaCarte.typeSugar",1.07916956847379e-5,1.0779521402706593e-5,1.081786305720037e-5,8.73045574107354e-8,5.1131606183093634e-8,1.7174259441275986e-7
"random (depth: 5, size: 79)/Standard.typeSugar",2.438029765201415e-6,2.43586003632326e-6,2.4404391107419837e-6,1.1712985451100802e-8,1.0031001480516887e-8,1.5122869959005714e-8
"random (depth: 5, size: 79)/ALaCarte.desugarType2",1.778852685583797e-5,1.77596526943394e-5,1.7820656178748628e-5,1.5611668270384095e-7,1.330110113256469e-7,1.9996304542399233e-7
"random (depth: 5, size: 79)/ALaCarte.desugarType2'",2.5991923831606913e-5,2.5951053901452078e-5,2.6077741736245447e-5,2.905017418149709e-7,1.7318368031133855e-7,5.628322708217794e-7
"random (depth: 5, size: 79)/Standard.desugarType2",4.352126186147843e-6,4.346849586873683e-6,4.363343497352687e-6,3.751777163885258e-8,2.1588678767224513e-8,7.34087673755955e-8
"random (depth: 5, size: 79)/ALaCarte.typeSugar2",5.290366384184023e-6,5.2840428792344316e-6,5.298823246962122e-6,3.72343551043465e-8,2.9383100555991313e-8,4.9350757814867223e-8
"random (depth: 5, size: 79)/Standard.typeSugar2",2.349355946805481e-6,2.2125675366021584e-6,2.5359491556624122e-6,8.083231107305988e-7,6.376401497525192e-7,9.896700312201714e-7
"random (depth: 5, size: 79)/ALaCarte.desugarEval",3.7112560985655844e-5,3.464958321196802e-5,4.001893034496156e-5,1.3702876752452433e-5,1.2167517095499588e-5,1.5327565299131196e-5
